store_id,day,start_time_local,end_time_local
1481966498820150000,4,0:00:00,0:10:00
1481966498820150000,2,0:00:00,0:10:00
1481966498820150000,0,0:00:00,0:10:00
1481966498820150000,1,0:00:00,0:10:00
1481966498820150000,5,0:00:00,0:10:00
1481966498820150000,3,0:00:00,0:10:00
1481966498820150000,6,0:00:00,0:10:00
579100056021594000,5,0:00:00,0:10:00
579100056021594000,1,0:00:00,0:10:00
579100056021594000,3,0:00:00,0:10:00
579100056021594000,4,0:00:00,0:10:00
579100056021594000,2,0:00:00,0:10:00
579100056021594000,0,0:00:00,0:10:00
579100056021594000,6,0:00:00,0:10:00
4573651495882510000,6,0:00:00,0:10:00
4573651495882510000,5,0:00:00,0:10:00
4573651495882510000,2,0:00:00,0:10:00
4573651495882510000,3,0:00:00,0:10:00
4573651495882510000,0,0:00:00,0:10:00
4573651495882510000,1,0:00:00,0:10:00
4573651495882510000,4,0:00:00,0:10:00
5125947543803220000,4,0:00:00,0:10:00
5125947543803220000,2,0:00:00,0:10:00
5125947543803220000,0,0:00:00,0:10:00
5125947543803220000,1,0:00:00,0:10:00
5125947543803220000,3,0:00:00,0:10:00
5125947543803220000,6,0:00:00,0:10:00
5125947543803220000,5,0:00:00,0:10:00
8737584666926490000,2,0:00:00,0:10:00
8737584666926490000,3,0:00:00,0:10:00
8737584666926490000,0,0:00:00,0:10:00
8737584666926490000,5,0:00:00,0:10:00
8737584666926490000,6,0:00:00,0:10:00
8737584666926490000,4,0:00:00,0:10:00
8737584666926490000,1,0:00:00,0:10:00
2629214850687680000,5,0:00:00,0:10:00
2629214850687680000,2,0:00:00,0:10:00
2629214850687680000,4,0:00:00,0:10:00
2629214850687680000,1,0:00:00,0:10:00
2629214850687680000,6,0:00:00,0:10:00
2629214850687680000,3,0:00:00,0:10:00
2629214850687680000,0,0:00:00,0:10:00
3174362223001910000,0,0:00:00,0:10:00
3174362223001910000,3,0:00:00,0:10:00
3174362223001910000,1,0:00:00,0:10:00
3174362223001910000,4,0:00:00,0:10:00
3174362223001910000,5,0:00:00,0:10:00
3174362223001910000,6,0:00:00,0:10:00
